"","x"
"1",204.702263656215
"2",203.978705096156
"3",0.244158458703894
"4",203.367553914478
"5",203.383392865705
"6",201.450397112027
"7",203.401132795739
"8",203.397674641491
"9",0.216609180838592
"10",203.315624899678
"11",203.847347305335
"12",204.783782483585
"13",203.862817281462
"14",201.521639756931
"15",203.348734333329
"16",203.09024690755
"17",0.24903555889628
"18",0.281208281079963
"19",205.227492219927
"20",201.159897392657
"21",202.155765008285
"22",0.234777349638083
"23",204.213375499763
"24",203.072906419633
"25",202.406751457388
"26",203.074094435357
"27",201.836154350947
"28",202.729461360071
"29",202.281263324623
"30",205.141286737126
"31",201.213795811554
"32",202.978030894708
"33",202.976412282511
"34",202.897405671701
"35",201.802963737596
"36",200.78184656557
"37",0.19851706026522
"38",203.153344317806
"39",202.716556334644
"40",0.730354949633383
"41",202.497236179193
"42",203.959852593656
"43",203.412779946878
"44",201.221040425002
"45",204.115311467157
"46",200.816006747047
"47",204.789918709661
"48",202.288503789612
"49",203.184274027901
"50",201.461070584873
"51",202.957058654571
"52",0.173898561519371
"53",201.156429193986
"54",0.734129521633671
"55",200.446023498863
"56",0.329254673667608
"57",201.369004102291
"58",201.885932260601
"59",62.0567117088978
"60",203.373070430347
"61",201.417357539781
"62",206.357195524028
"63",203.01627995039
"64",202.257418799666
"65",201.046485039489
"66",202.105721282131
"67",0.380223762040766
"68",0.406969736030314
"69",201.816973237282
"70",202.060942560181
"71",203.389371979633
"72",201.253194391228
"73",202.958532204969
"74",205.177398352925
"75",204.199980073034
"76",203.920696646357
"77",206.335964459575
"78",203.621599989378
"79",202.604466257848
"80",201.389579215851
"81",204.43635955797
"82",202.868871839786
"83",200.876363557758
"84",202.603354449282
"85",201.365676349025
"86",201.021368211907
"87",202.828266504256
"88",203.438433659334
"89",17.0355679544563
"90",202.869757522534
"91",202.915289794029
"92",201.930023633902
"93",0.336916632284755
"94",204.751461622165
"95",200.414741322854
"96",30.8715900284388
"97",0.383664223427347
"98",202.396737348354
"99",204.496574327103
"100",203.380159441028
"101",203.77501775398
"102",201.411597155613
"103",0.539563176363883
"104",205.002519137914
"105",0.380921280412578
"106",201.934375699005
"107",203.348586390338
"108",202.842907455598
"109",202.635355572944
"110",201.598326467267
"111",202.241956439899
"112",203.257306297147
"113",199.838293030806
"114",202.580138597827
"115",201.192395764319
"116",0.388027300870318
"117",203.390224250512
"118",204.148273566086
"119",0.240724803589606
"120",3.50737295113026
"121",0.312890018277386
"122",204.274165637154
"123",0.462892295942181
"124",204.880704761382
"125",202.471241522792
"126",0.242719822298317
"127",202.961018389371
"128",204.103801568671
"129",203.398522724075
"130",0.245121072398771
"131",201.483627402799
"132",0.267511852432962
"133",201.075785690341
"134",203.437743098087
"135",201.912113427423
"136",0.292655119984394
"137",0.418251527723277
"138",202.154024958548
"139",0.290878980878834
"140",202.972993685884
"141",202.562591651352
"142",0.235031340458103
"143",0.233439744126346
"144",202.181768162165
"145",201.233899940709
"146",0.321487992096723
"147",0.293339521067545
"148",55.1595307626096
"149",204.657117896868
"150",200.395164648569
"151",203.546357307957
"152",201.352627161102
"153",206.504826057941
"154",200.752183853799
"155",200.267973371029
"156",202.612786322545
"157",202.831457401443
"158",205.064492704998
"159",203.879553990068
"160",0.28718991826437
"161",203.787970699792
"162",203.264712330087
"163",203.466709055041
"164",202.20580285144
"165",201.213021948214
"166",203.407694244487
"167",202.522183050119
"168",204.39724236186
"169",201.604889027317
"170",204.478636267512
"171",202.670965136612
"172",204.678030446728
"173",204.419615222299
"174",202.884652626127
"175",28.4716713515698
"176",205.29618150863
"177",203.922525882772
"178",202.468738633116
"179",203.911984198393
"180",204.980966982113
"181",202.665594239375
"182",0.172892680641678
"183",0.372952021271745
"184",201.278512973091
"185",205.148091796199
"186",203.928508704231
"187",206.32607811821
"188",205.461092659662
"189",201.292114752995
"190",204.539758058059
"191",0.208289577803031
"192",202.169086831477
"193",14.135588806721
"194",0.265431961687926
"195",203.373536644517
"196",0.209910537219712
"197",203.382770813261
"198",203.169278826547
"199",204.058999922051
"200",202.213433797916
